number of descriptions	1 dependency parsing	1 dependency reasoning	1 dependency total	2 dependencies parsing	2 dependencies reasoning	2 dependencies total	3 dependencies parsing	3 dependencies reasoning	3 dependencies total	parsing with dummies	reasoning with dummies	total with dummies
-	187.0	329.0	516.0	203.0	1982.0	2185.0	246.0	2903.0	3149.0	411.0	1048.0	1459.0
-	184.0	320.0	504.0	200.0	1935.0	2135.0	213.0	2933.0	3146.0	411.0	1136.0	1547.0
-	180.0	322.0	502.0	200.0	1970.0	2170.0	214.0	2770.0	2984.0	409.0	1126.0	1535.0
-	187.0	312.0	499.0	216.0	1876.0	2092.0	216.0	2750.0	2966.0	408.0	1107.0	1515.0
-	185.0	320.0	505.0	201.0	1957.0	2158.0	217.0	2848.0	3065.0	406.0	1138.0	1544.0
-	182.0	322.0	504.0	201.0	1971.0	2172.0	217.0	2851.0	3068.0	410.0	1127.0	1537.0
-	182.0	317.0	499.0	195.0	1934.0	2129.0	213.0	2955.0	3168.0	446.0	1074.0	1520.0
-	193.0	307.0	500.0	209.0	1955.0	2164.0	217.0	2800.0	3017.0	409.0	1127.0	1536.0
-	184.0	322.0	506.0	198.0	1924.0	2122.0	214.0	2777.0	2991.0	410.0	1106.0	1516.0
-	184.0	321.0	505.0	199.0	2009.0	2208.0	216.0	2931.0	3147.0	415.0	1126.0	1541.0
-	186.0	360.0	546.0	199.0	2057.0	2256.0	213.0	2816.0	3029.0	408.0	1118.0	1526.0
-	187.0	322.0	509.0	227.0	1934.0	2161.0	211.0	2812.0	3023.0	407.0	1121.0	1528.0
-	194.0	302.0	496.0	200.0	1962.0	2162.0	215.0	2722.0	2937.0	408.0	1093.0	1501.0
-	186.0	311.0	497.0	198.0	1975.0	2173.0	223.0	2889.0	3112.0	412.0	1116.0	1528.0
-	183.0	331.0	514.0	198.0	1955.0	2153.0	213.0	2949.0	3162.0	406.0	1116.0	1522.0
-	187.0	320.0	507.0	201.0	1986.0	2187.0	213.0	2705.0	2918.0	409.0	1117.0	1526.0
-	180.0	313.0	493.0	207.0	1948.0	2155.0	215.0	2834.0	3049.0	407.0	1105.0	1512.0
-	192.0	308.0	500.0	197.0	1933.0	2130.0	261.0	2725.0	2986.0	413.0	1120.0	1533.0
-	185.0	308.0	493.0	199.0	1931.0	2130.0	211.0	2882.0	3093.0	412.0	1135.0	1547.0
-	186.0	353.0	539.0	202.0	1908.0	2110.0	209.0	2834.0	3043.0	418.0	1103.0	1521.0
-	187.0	319.0	506.0	197.0	2015.0	2212.0	210.0	2840.0	3050.0	409.0	1112.0	1521.0
-	186.0	309.0	495.0	201.0	2070.0	2271.0	218.0	2821.0	3039.0	405.0	1177.0	1582.0
-	188.0	305.0	493.0	200.0	1888.0	2088.0	214.0	2948.0	3162.0	455.0	1070.0	1525.0
-	185.0	331.0	516.0	200.0	1986.0	2186.0	213.0	2867.0	3080.0	412.0	1127.0	1539.0
-	187.0	318.0	505.0	199.0	1913.0	2112.0	215.0	2823.0	3038.0	405.0	1133.0	1538.0
-	185.0	319.0	504.0	195.0	1939.0	2134.0	218.0	2818.0	3036.0	407.0	1125.0	1532.0
-	190.0	299.0	489.0	203.0	1936.0	2139.0	214.0	2846.0	3060.0	410.0	1100.0	1510.0
-	188.0	308.0	496.0	201.0	1986.0	2187.0	212.0	2885.0	3097.0	410.0	1097.0	1507.0
-	188.0	322.0	510.0	198.0	1938.0	2136.0	212.0	2787.0	2999.0	408.0	1186.0	1594.0
-	183.0	315.0	498.0	200.0	1967.0	2167.0	213.0	2870.0	3083.0	408.0	1186.0	1594.0
-	186.0	346.0	532.0	202.0	1939.0	2141.0	220.0	2901.0	3121.0	403.0	1154.0	1557.0
-	184.0	316.0	500.0	197.0	1685.0	1882.0	212.0	2824.0	3036.0	410.0	1121.0	1531.0
-	187.0	344.0	531.0	202.0	1931.0	2133.0	218.0	2834.0	3052.0	404.0	1149.0	1553.0
-	186.0	321.0	507.0	200.0	1956.0	2156.0	215.0	2882.0	3097.0	412.0	1133.0	1545.0
-	187.0	320.0	507.0	203.0	1954.0	2157.0	219.0	2897.0	3116.0	411.0	1115.0	1526.0
-	186.0	314.0	500.0	198.0	2005.0	2203.0	214.0	2792.0	3006.0	405.0	1144.0	1549.0
32 (AVG)	271.4	1149.6	1421.0	300.8	8016.7	8317.4	328.2	10708.5	11036.7	584.7	1095.3	1680.0
-	270.0	1214.0	1484.0	300.0	7543.0	7843.0	332.0	10649.0	10981.0	625.0	1079.0	1704.0
-	271.0	1135.0	1406.0	299.0	8565.0	8864.0	330.0	11032.0	11362.0	586.0	1116.0	1702.0
-	269.0	1148.0	1417.0	293.0	8294.0	8587.0	328.0	11108.0	11436.0	571.0	1108.0	1679.0
-	277.0	1137.0	1414.0	301.0	8260.0	8561.0	327.0	10611.0	10938.0	587.0	1096.0	1683.0
-	268.0	1176.0	1444.0	298.0	7478.0	7776.0	330.0	10671.0	11001.0	583.0	1135.0	1718.0
-	267.0	1157.0	1424.0	300.0	7820.0	8120.0	322.0	10598.0	10920.0	580.0	1106.0	1686.0
-	277.0	1149.0	1426.0	299.0	7625.0	7924.0	326.0	10313.0	10639.0	584.0	1077.0	1661.0
-	271.0	1161.0	1432.0	298.0	7730.0	8028.0	331.0	10456.0	10787.0	628.0	1080.0	1708.0
-	270.0	1151.0	1421.0	300.0	8124.0	8424.0	325.0	9918.0	10243.0	590.0	1066.0	1656.0
-	268.0	1152.0	1420.0	319.0	7852.0	8171.0	328.0	10295.0	10623.0	580.0	1073.0	1653.0
-	267.0	1156.0	1423.0	299.0	7625.0	7924.0	324.0	10351.0	10675.0	581.0	1121.0	1702.0
-	270.0	1160.0	1430.0	299.0	8177.0	8476.0	326.0	10643.0	10969.0	574.0	1125.0	1699.0
-	268.0	1141.0	1409.0	306.0	8292.0	8598.0	325.0	10113.0	10438.0	586.0	1080.0	1666.0
-	274.0	1141.0	1415.0	311.0	8241.0	8552.0	335.0	10648.0	10983.0	584.0	1124.0	1708.0
