number of descriptions	1 dependency parsing	1 dependency reasoning	1 dependency total	2 dependencies parsing	2 dependencies reasoning	2 dependencies total	3 dependencies parsing	3 dependencies reasoning	3 dependencies total	parsing with dummies	reasoning with dummies	total with dummies
-	52.0	12.0	64.0	66.0	29.0	95.0	77.0	277.0	354.0	96.0	-3.0	93.0
-	52.0	30.0	82.0	56.0	227.0	283.0	66.0	50.0	116.0	84.0	12.0	96.0
-	52.0	37.0	89.0	66.0	268.0	334.0	72.0	48.0	120.0	69.0	24.0	93.0
-	61.0	10.0	71.0	66.0	482.0	548.0	64.0	62.0	126.0	73.0	23.0	96.0
-	55.0	26.0	81.0	61.0	414.0	475.0	61.0	62.0	123.0	79.0	21.0	100.0
-	53.0	39.0	92.0	66.0	161.0	227.0	72.0	37.0	109.0	85.0	15.0	100.0
-	57.0	17.0	74.0	67.0	35.0	102.0	72.0	44.0	116.0	89.0	7.0	96.0
-	63.0	14.0	77.0	57.0	27.0	84.0	64.0	55.0	119.0	92.0	12.0	104.0
-	53.0	23.0	76.0	62.0	28.0	90.0	66.0	42.0	108.0	87.0	9.0	96.0
-	58.0	24.0	82.0	57.0	38.0	95.0	61.0	58.0	119.0	87.0	15.0	102.0
-	53.0	23.0	76.0	63.0	41.0	104.0	62.0	67.0	129.0	70.0	26.0	96.0
-	58.0	21.0	79.0	67.0	17.0	84.0	89.0	37.0	126.0	87.0	16.0	103.0
-	58.0	13.0	71.0	56.0	33.0	89.0	76.0	35.0	111.0	80.0	43.0	123.0
-	56.0	24.0	80.0	59.0	35.0	94.0	74.0	40.0	114.0	85.0	211.0	296.0
-	52.0	27.0	79.0	62.0	30.0	92.0	67.0	36.0	103.0	92.0	30.0	122.0
-	52.0	21.0	73.0	67.0	20.0	87.0	62.0	57.0	119.0	77.0	54.0	131.0
-	52.0	31.0	83.0	61.0	42.0	103.0	71.0	77.0	148.0	81.0	12.0	93.0
-	52.0	26.0	78.0	63.0	23.0	86.0	68.0	60.0	128.0	82.0	6.0	88.0
-	53.0	26.0	79.0	58.0	21.0	79.0	82.0	37.0	119.0	73.0	26.0	99.0
-	56.0	27.0	83.0	65.0	29.0	94.0	88.0	18.0	106.0	77.0	35.0	112.0
-	52.0	21.0	73.0	65.0	23.0	88.0	85.0	20.0	105.0	69.0	40.0	109.0
-	59.0	18.0	77.0	67.0	28.0	95.0	88.0	34.0	122.0	72.0	28.0	100.0
-	53.0	23.0	76.0	57.0	30.0	87.0	62.0	50.0	112.0	72.0	23.0	95.0
-	53.0	19.0	72.0	56.0	30.0	86.0	62.0	59.0	121.0	81.0	31.0	112.0
-	51.0	15.0	66.0	65.0	14.0	79.0	61.0	59.0	120.0	78.0	21.0	99.0
-	60.0	18.0	78.0	60.0	22.0	82.0	61.0	60.0	121.0	79.0	16.0	95.0
-	52.0	26.0	78.0	56.0	37.0	93.0	61.0	56.0	117.0	71.0	36.0	107.0
-	52.0	29.0	81.0	60.0	26.0	86.0	81.0	33.0	114.0	83.0	20.0	103.0
-	52.0	12.0	64.0	66.0	26.0	92.0	63.0	55.0	118.0	71.0	21.0	92.0
-	60.0	22.0	82.0	56.0	32.0	88.0	62.0	63.0	125.0	74.0	30.0	104.0
64 (AVG)	74.3	43.9	118.1	90.7	45.6	136.3	97.6	105.9	203.5	101.5	25.1	126.6
-	69.0	26.0	95.0	79.0	52.0	131.0	98.0	93.0	191.0	100.0	12.0	112.0
-	78.0	28.0	106.0	90.0	35.0	125.0	98.0	97.0	195.0	97.0	21.0	118.0
-	75.0	17.0	92.0	78.0	63.0	141.0	96.0	95.0	191.0	101.0	19.0	120.0
-	78.0	45.0	123.0	96.0	48.0	144.0	93.0	118.0	211.0	98.0	20.0	118.0
-	74.0	20.0	94.0	85.0	70.0	155.0	88.0	109.0	197.0	98.0	24.0	122.0
-	71.0	24.0	95.0	86.0	60.0	146.0	88.0	112.0	200.0	101.0	14.0	115.0
-	74.0	28.0	102.0	83.0	64.0	147.0	92.0	105.0	197.0	94.0	17.0	111.0
-	70.0	38.0	108.0	83.0	40.0	123.0	93.0	96.0	189.0	89.0	25.0	114.0
-	71.0	28.0	99.0	82.0	46.0	128.0	89.0	100.0	189.0	93.0	23.0	116.0
-	70.0	28.0	98.0	79.0	53.0	132.0	99.0	106.0	205.0	98.0	21.0	119.0
-	80.0	24.0	104.0	79.0	49.0	128.0	98.0	179.0	277.0	104.0	10.0	114.0
